
2022/04/18 (00:48:07) | ===> btop++ v.1.2.6
2022/04/18 (00:48:07) | WARNING: Failed to join _runner thread on exit!

2022/04/18 (00:50:09) | ===> btop++ v.1.2.6
2022/04/18 (00:50:09) | INFO: Logger set to INFO
2022/04/18 (00:50:09) | INFO: Logger set to DEBUG
2022/04/18 (00:50:09) | INFO: Logger set to INFO
2022/04/18 (00:50:10) | INFO: Logger set to INFO
2022/04/18 (00:59:08) | WARNING: Failed to join _runner thread on exit!

2022/04/18 (14:43:42) | ===> btop++ v.1.2.6
2022/04/18 (14:43:42) | WARNING: Failed to join _runner thread on exit!

2022/06/05 (20:05:32) | ===> btop++ v.1.2.7
2022/06/05 (20:05:32) | WARNING: Failed to join _runner thread on exit!

2024/10/20 (20:12:27) | ===> btop++ v.1.4.0
2024/10/20 (20:12:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (20:13:31) | ===> btop++ v.1.4.0
2024/10/20 (20:13:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (20:58:22) | ===> btop++ v.1.4.0
2024/11/11 (20:58:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (20:58:29) | ===> btop++ v.1.4.0
2024/11/11 (20:58:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (20:58:37) | ===> btop++ v.1.4.0
2024/11/11 (20:58:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (18:48:03) | ===> btop++ v.1.4.0
2024/11/30 (18:48:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (19:36:00) | ===> btop++ v.1.4.0
2024/11/30 (19:36:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (19:38:14) | ===> btop++ v.1.4.0
2024/11/30 (19:38:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (19:51:10) | ===> btop++ v.1.4.0
2024/11/30 (19:51:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (23:20:35) | ===> btop++ v.1.4.0
2024/12/16 (23:20:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (23:27:25) | ===> btop++ v.1.4.0
2024/12/16 (23:27:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (03:17:52) | ===> btop++ v.1.4.0
2024/12/18 (03:17:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (03:24:01) | ===> btop++ v.1.4.0
2024/12/18 (03:24:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (03:35:15) | ===> btop++ v.1.4.0
2024/12/18 (03:35:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (03:41:19) | ===> btop++ v.1.4.0
2024/12/18 (03:41:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (03:42:07) | ===> btop++ v.1.4.0
2024/12/18 (03:42:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (03:45:29) | ===> btop++ v.1.4.0
2024/12/18 (03:45:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (03:49:54) | ===> btop++ v.1.4.0
2024/12/18 (03:49:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (03:50:02) | ===> btop++ v.1.4.0
2024/12/18 (03:50:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (03:52:09) | ===> btop++ v.1.4.0
2024/12/18 (03:52:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (01:08:46) | ===> btop++ v.1.4.0
2024/12/19 (01:08:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (01:28:24) | ===> btop++ v.1.4.0
2024/12/20 (01:28:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (16:08:38) | ===> btop++ v.1.4.0
2025/01/05 (16:08:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (16:08:42) | ===> btop++ v.1.4.0
2025/01/05 (16:08:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (19:58:41) | ===> btop++ v.1.4.0
2025/01/08 (19:58:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (15:43:24) | ===> btop++ v.1.4.0
2025/01/10 (15:43:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (20:11:17) | ===> btop++ v.1.4.0
2025/01/23 (20:11:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (10:20:42) | ===> btop++ v.1.4.0
2025/01/25 (10:20:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (19:30:00) | ===> btop++ v.1.4.0
2025/03/13 (19:30:00) | WARNING: Intel GPU: Failed to initialize PMU
